job_id,title,company_id,location,employment_type,seniority_level,remote,description,skills_required,industry,views_count,applicants_count,status,posted_datetime,recruiter_id
dc715ee5-902d-42e3-bc8c-f47b8ed4d868,Business Analyst,company-0160,Portland, OR,PART_TIME,Entry,onsite,We are looking for a talented Security Engineer to join our growing team. You will work on challenging problems at scale.,CSS|HTML|Vue,Media,4296,35,closed,2026-02-10 19:45:20,recruiter-00894
2e557c2d-cb8c-434f-af5d-be399511231d,Product Manager,company-0238,San Diego, CA,PART_TIME,Associate,hybrid,We are looking for a talented Marketing Manager to join our growing team. You will work on challenging problems at scale.,Python|Django|PostgreSQL|FastAPI,Retail,1235,156,open,2026-04-24 18:45:20,recruiter-00961
b40915e4-2981-44a2-8377-ffb3ac720325,Cloud Architect,company-0165,Hybrid - Austin,PART_TIME,Entry,onsite,We are looking for a talented Software Engineer to join our growing team. You will work on challenging problems at scale.,Java|Kubernetes|Spring Boot,Healthcare,3969,263,closed,2026-03-17 18:45:20,recruiter-00984
1945b265-c526-439b-8cd8-6fd05b0c7f2d,Software Engineer,company-0493,San Francisco, CA,PART_TIME,Entry,remote,We are looking for a talented Engineering Manager to join our growing team. You will work on challenging problems at scale.,React|TypeScript|Node.js,Healthcare,3022,251,open,2026-03-30 18:45:20,recruiter-00948
5a0267da-8a34-4507-93ed-abbc2a26e0fc,Data Analyst,company-0081,Portland, OR,PART_TIME,Entry,hybrid,We are looking for a talented Senior Software Engineer to join our growing team. You will work on challenging problems at scale.,Kubernetes|Docker,Media,2996,215,open,2026-03-05 19:45:20,recruiter-00528
f0643fc3-98e0-4160-9d20-61dda1a0727d,Product Manager,company-0323,Phoenix, AZ,CONTRACT,Internship,remote,We are looking for a talented Frontend Engineer to join our growing team. You will work on challenging problems at scale.,Hadoop|Scala,Healthcare,42,91,open,2026-02-17 19:45:20,recruiter-00303
b6d259d6-5490-466c-a90d-6f3b1baa5309,Business Analyst,company-0197,Minneapolis, MN,FULL_TIME,Internship,hybrid,We are looking for a talented Solutions Architect to join our growing team. You will work on challenging problems at scale.,Spark|Kafka|Scala|Hadoop,Retail,3059,58,closed,2026-04-02 18:45:20,recruiter-00213
e5537c59-d7e0-4bb9-8133-42d138d1232e,Product Manager,company-0085,Detroit, MI,INTERNSHIP,Director,onsite,We are looking for a talented Data Engineer to join our growing team. You will work on challenging problems at scale.,Kubernetes|Java,Healthcare,2581,216,open,2026-03-29 18:45:20,recruiter-00514
5091d3cc-8c83-4ae4-84e0-7c900c3bd6b9,Backend Engineer,company-0087,Nashville, TN,FULL_TIME,Director,remote,We are looking for a talented Technical Lead to join our growing team. You will work on challenging problems at scale.,React|JavaScript,Media,2988,94,open,2026-03-31 18:45:20,recruiter-00631
575d87d9-93db-45d6-97ba-16004ad626e6,QA Engineer,company-0333,Columbus, OH,FULL_TIME,Director,hybrid,We are looking for a talented Frontend Engineer to join our growing team. You will work on challenging problems at scale.,Docker|Spring Boot|Java,Consulting,1217,281,open,2026-03-02 19:45:20,recruiter-00067
